Astrocyte,B cells,Endothelial cells,Fibroblasts,Macrophage,Microglia,Monocyte DC,Mural cells,Neuron,Neutrophil,NK,Oligodendrocytes,OPC,T cells,Naive T cells
Slc25a18,Ikzf3,Adamts1,mt-Nd5,Rpl36al,Id2,Pirb,Axl,Mir100hg,Ncf4,Rpl22,Trim59,Klhl5,Akap13,Bcl11b
Cdhr3,Rpl14,Myl12b,Atp5d,Rps25,Hk2,Rps21,Lims1,1110038B12Rik,Mrpl33,Crip1,Desi1,Lrp1,Rps3a1,Scml4
1700007K13Rik,Xrcc6,Pttg1ip,Sec61g,Ndufb1-ps,Tanc2,Lmo1,Errfi1,Ezh2,Sorl1,Klrc1,Zfp365,Clstn1,Rpl36al,Smc4
Lrriq1,Rac2,Tek,Sav1,H2-Ab1,Nlrp3,Avpi1,Rock1,Maged1,Rab7,Rack1,Mast4,Pcmtd2,Bhlhe40,Shisa5
Dnah5,Chchd10,Abcc4,Wdr1,Pgam1,Cyba,Rpl30,Ppp1r12c,Plxna4,Litaf,Rpl15,Daam2,B3gat2,H2-Q6,4932438A13Rik
Dnali1,Cd52,Tshz2,Cltb,Fcgr3,Fermt3,Rpl29,Arhgap10,Celf2,Vasp,Samd3,Pak1,Tspan7,Eif3f,Smchd1
Cfap299,4930523C07Rik,Depp1,Tbrg1,Rilpl2,Il10ra,Itga4,Laptm4a,Mex3b,Adipor1,Eef1a1,Tmem229a,Sparcl1,Itgb7,Ltb
Gsta4,C1galt1,Ndrg1,Myl6,Anxa1,Fcgr1,Psmb8,Serpini1,Ctxn1,Dgat1,Shisa5,Gprc5b,Mfsd2a,Rpl21,Gimap5
Chchd6,H2-Q7,Galnt15,Por,Trem1,Tra2b,Dpp4,Syne2,Dpysl5,2310001H17Rik,Rpl3,Tmeff2,Fip1l1,Sub1,Pnrc1
Mro,Tcf3,Aqp11,Aldoa,Mgst1,Cd53,Ltb4r1,Adap2,Kif5c,1700017B05Rik,Tspo,Kif21a,Myo5a,Rplp1,B2m
Cfap69,Hist1h1c,Srarp,Micos10,Ptafr,Timp2,AI662270,Tnfaip1,Sorbs2,Tut7,Tut4,Arhgap23,Ppp1r14c,Rps26,Gas5
Cfap100,Smarca4,Ier3,Set,Rpl23,Cd164,Pmaip1,Lrrc32,Tcaf1,Tgif1,Rplp0,Plaat3,Cpe,Rpl26,Dusp5
Cd109,Stk17b,Jag2,Tcp1,Ets2,Rnf19b,P2ry10,Ptp4a3,Sp8,Cd300ld,Mndal,Elavl3,Etv5,Zfp36l2,Cmah
Wdr66,Rplp1,Dlc1,mt-Nd3,Psap,Asah1,Cd44,Pitpnc1,Tsn,Ostf1,B2m,Dcaf17,Srgap1,Bcl2,Ms4a6b
Tekt1,Syk,Atp10a,Ece1,Tuba1c,Daglb,Klrd1,B3gnt2,Snrpn,Stx11,Fgl2,Sulf2,Casc4,Rps9,Rpl22l1
Dnah9,H2-D1,Notch1,Sptbn1,Serp1,Sqstm1,Rpl13a,Rbms3,Nfia,Acsl1,Sh2d1a,Spock3,Itgb8,Rpl36a,Ptprcap
Spag6l,Slamf6,Eogt,Lima1,Rps12,Pfkfb3,Aph1c,Ggt5,Brinp2,Atp6v1e1,Serpina3g,Agap1,Lgalsl,Snrpg,Gmfg
Prodh,Rpl5,Col4a3bp,Uqcrb,Fem1c,B2m,Gpx1,Hspb1,Zeb1,Anxa11,Arhgdib,Zfp536,Lbh,Rpl7a,Eif3e
Stoml3,Scd1,Macf1,Wdr83os,Sec61b,Tcn2,AA467197,Vasn,Plppr3,Birc3,Spn,Fgfr2,Timp4,Zc3hav1,Klf2
Slc39a12,Plekha2,Pde2a,Slc39a1,Diaph1,Blnk,Cnn2,Phlda1,Hist1h2ae,Fmnl1,Lamb3,Arhgef10,Tmem121,Fam107b,Gpr132
Cfap43,Smim14,Klf2,Smarce1,Rpl32,Tmem86a,Rpl7a,Hey2,Hdac2,Mirt2,Epsti1,Ap2a1,Gap43,Isg20,Cd52
Smim5,Mndal,Ier5l,Pdha1,Rplp2,Ccr5,Ifitm6,Arhgap29,Peg3,Pilra,Rps12,Bpgm,Ctnnd2,Itpkb,H2-D1
Dmkn,Chst3,Gimap6,Cavin3,Cd93,Gng10,Eef1a1,Osmr,Scg3,Rab8b,Id2,Gltp,Arl2bp,Emp3,Rps27rt
Ccdc74a,Arhgdib,4931406P16Rik,Oat,H2-Aa,F11r,Rpl23a,Oaz2,Kdm5b,Slc2a3,Gm10076,Josd2,Itpr2,Tpt1,Stat4
Ccdc146,Il12a,Rnf144b,Fkbp1a,Ctsh,Cited2,Rab11fip1,Eva1b,Ahi1,Prr13,Rps2,Plekha1,Syn2,Acp5,Trib2
Gm10714,Arpc5l,Myl12a,Nfe2l1,Bri3,Inpp5d,H2-D1,Inpp4b,Irf2bpl,Lcp2,Rpl10a,Tppp,Irgm1,Malt1,Cd8b1
Dthd1,Irf4,Erg,Ndufa8,Apobec1,Pdgfb,Anxa2,Prkar1a,Psip1,Pde4b,Rps28,Pcsk1n,Zfp462,Itgal,Tut4
Bbox1,Eef1b2,Rasd1,Selenof,Rpl37a,Slc7a8,Ass1,Gnb4,Klhl7,Dhrs7,Lgals1,Osbpl1a,Igsf21,Sp100,Snrpg
Fam166b,Parp1,Mecom,Thap12,H2-Eb1,Ppp1r10,Tmsb10,Rhoj,Selenow,Trim30b,Tnfrsf18,Pdxk,Arsb,Rpl14,1-Sep
Ccdc30,Cenpa,Ppp1r2,S100a10,Rpl38,Chka,Psme1,Mark1,Hnrnpa0,Cflar,Rpl14,Fth1,B3gat1,Rps28,Rpl36al
Abhd3,Cyfip2,Golim4,Prkar1a,Mafb,Cd37,Eps8,Itpr1,Rnf165,Plk3,Gm15472,Pdgfa,Il1rapl1,Btg1,Crybg1
Nwd1,Tmem108,Thbd,Gnb1,Sod2,Rnaset2a,Ptger4,Irs2,Spon1,7-Mar,Jakmip1,Rab31,Reep1,Sec61b,A930005H10Rik
Cfap65,Rasgrp2,Nos3,Myl12a,Zeb2,Gpr84,Cbfa2t3,Camk2g,Cox20,Tmem189,Itk,Phldb1,Gpt2,Abracl,Prkcq
Phkg1,Cmtm7,Clip1,Alyref,Csf2ra,Pnp,Alox5ap,Serping1,Trim2,Dazap2,Cnn2,Thra,Cmtm4,Eef1b2,Plcxd2
Ccdc33,H2afy,Sptan1,Nupr1,Btg1,Cd63,Ap1s2,Pear1,Marcks,Skap2,Lck,Trim2,Ptprs,Rpl15,Acp5
Cfap206,Hist1h1e,Gsta4,Ralb,Fn1,C5ar1,Map4k1,Actn1,Sbk1,Atp2b1,Ubald2,Kndc1,Enah,Rps6,Eef2
Plce1,Rnase6,Gjc1,Zic2,Rbms1,Cd9,Ctsh,Wls,Sox2,Gabarap,Rpl29,Efhd1,Mmd2,Psme1,Igfbp4
Clec3b,Il2rg,Rras,Ybx1,Fth1,Fcgr2b,Ccr1,Bcam,Ppdpf,Gpsm3,Adgre5,Cers2,Ccnd1,Rpl6,Mndal
Ccdc114,Pold4,Ctnnb1,Rps2,Plac8,H3f3b,Sema4a,Ryk,Ilf2,Cox17,Rpl5,Arap2,Ncan,Naca,Rps17
2010001K21Rik,mt-Co1,Trp53inp1,Tbcb,Spi1,Pla2g15,Ahr,Gpx8,Enox1,Atp6v1g1,Gimap7,Dnm3,Nnat,Serpinb6b,Ptprc
Plcd4,B2m,Plcb4,Atp5l,Gabarap,Rcan1,Siglecg,Nrarp,Fubp1,Card19,6-Sep,Hcn2,Ppp1r14b,Pdcd4,Traf1
Cbs,Rpl31,Syne1,Dnajc10,Samhd1,Bmp2k,Tspo,Rras,Dusp4,Arpc3,Hsd11b1,Kif1a,Lars2,H2-T23,Fam189b
Cfap161,Gmfg,Mcf2l,Cox8a,Ifi203,Cndp2,Rpl36al,Plce1,Enah,Chmp4b,Satb1,Ado,Adarb2,Neurl3,Eif3f
Pih1d2,Aff3,BC028528,Abcb1a,S100a11,Fgd2,Wdfy4,Serpinh1,Kdm1a,Tax1bp1,Dennd4a,Adipor2,Mt3,P2ry10,Ipcef1
Wdr78,H2-Oa,Plpp6,Pcbp2,Il1b,Spint1,Snx20,Ehd2,Abracl,Sema4d,Rps26,Atp8a1,Pnn,Rpl7,Gpr18
Dync2li1,Eef1a1,Rbpms,Eif5a,Rpl39,Arl4c,Pkib,Fxyd1,Sox9,Susd6,Metrnl,Phgdh,Snrnp70,Pfdn5,Rac2
Calb1,H2-K1,Ocln,Hnrnpa3,Cd52,Herpud1,Ms4a6c,Ndufs2,Cdkn1b,Slk,Tpm4,Tprn,Olfm1,Gpr171,mt-Co1
Nme9,Slc38a1,Sox18,Golph3,Rps19,Cd84,Emp3,Cyth3,Msi2,Ube2b,Srgn,Tmeff1,Cobl,Gimap7,Eif1
Fam184a,Foxo1,Lims2,Nenf,Ap2a2,Snx5,Tep1,Map1lc3a,Mtss1,Chd7,Emp3,Adssl1,Nap1l5,Limd2,Eef1g
Fam216b,Map3k1,Sorbs1,Smad1,Cxcl16,Tagap,Tbc1d4,Esyt2,Bex1,Kpna4,Cox8a,Lpar1,Tmem132b,Cd5,Gm11808
Ift81,H2-Q6,Slc7a1,Rpn2,Xdh,Gusb,Rpl4,Tbc1d1,Fam110b,Pfn1,Fosl2,Ccp110,Pnisr,Eif3h,P2ry10
Dzip1l,Ifi209,Tie1,Psma5,Eno1,Tpst2,Rilpl2,Ppp1cb,Gm14204,Arpc5,Rps8,Arrdc2,Gpm6b,Cd247,Foxp1
Rabl2,Ezr,Bvht,S100a11,Mir22hg,Hck,Ifitm1,Plpp3,Cbx1,Atg3,Ccdc88c,Efcab14,Flrt1,Nsa2,mt-Atp6
Crygn,Btg1,Foxp1,Pds5a,Csf2rb,Psap,Nr4a3,Ifitm1,Csnk1e,Bri3,Laptm5,Plekhh1,Cyp2j6,Gzmk,Uqcrh
Dkk3,Ripor2,Ccn2,Plec,Ucp2,Edem1,Fam129a,Cog7,H2afy2,H3f3a,Rps9,Sox10,Ttyh1,Pkp3,Ptpn22
Kcnk2,Rps15,Klf4,Strap,Gsr,Rhoh,Tgfbi,Nbeal1,Klf7,Tgoln1,Eif1,Gstm5,Dpysl3,B4galnt1,Snhg8
Oscp1,Rps17,Ctla2b,Pdia6,Syk,Tbxas1,Csf2rb,Pgrmc1,Ina,Wsb2,B4galnt1,Anks1b,Impa1,Rps27a,Crlf3
Lrrc23,H2afv,Foxc1,Kpnb1,Aprt,Comt,Rps15,Dynll1,Ttc9b,M6pr,Stk17b,Gng11,Ly6h,Tspo,Slamf6
Adamts20,Itga4,C130074G19Rik,Rps27l,Actr3,Junb,Rpl3,Pcp4l1,Gsk3b,Arpp19,Selplg,Rcbtb1,Scd2,Gstp3,Arid5a
Ttc21a,Gpr171,Mprip,Vamp3,Lpxn,Clk1,Ifi211,Kctd10,Akap9,Dgkz,Myl6,Pcbp4,Gpld1,Rpl35,Utrn
Mapk15,Ifi203,Tmem204,Wwtr1,Ier3,Bin2,Rel,Tmod3,Bzw2,Gpi1,Trbc2,Itgad,Scg5,Rpl35a,Prdx6
Rgs22,mt-Co2,Tspan13,Kdelr2,Gm2a,Cd33,Lgals1,Tgfb1i1,Mfap2,D8Ertd738e,Tnfaip3,Rtkn,Aldoc,Anxa6,Dusp2
Ddo,Snrpe,Cebpd,Arl6ip5,Fau,Frmd4a,Dusp5,Jag1,Cemip2,Ddx6,Iqgap1,Rtn4,Ckb,H2-Q4,Junb
B9d1,Elf1,Wwc2,Tmod3,Plekho2,Nrip1,Srgn,Gcnt2,Ptma,Slc43a2,Bcl2l11,Nmral1,Hap1,Cish,Arhgdib
Got1l1,Rbm3,Bcam,Ptp4a2,Tubb6,Tent5c,Lilr4b,Hlf,Hnrnph3,Sf3b6,Psmb8,Ss18l2,Ppp3ca,Tmsb4x,Ezr
Cfap52,Eef1g,Esyt2,Thbd,Rpl23a,Ecscr,Ahnak,Col1a2,Nsd2,Arhgef2,Vgll4,Phlpp1,Vdac1,Gpr183,Rasgrp2
Dnah11,Tmem131l,Mmrn2,Chmp4b,Mpeg1,Ms4a6d,Nfkbie,Ifitm3,Ncan,Ost4,Il18r1,Erbin,Myef2,Rps8,Nsd3
Spef1,mt-Atp6,Bnip2,Rapgef5,Anxa2,Arhgap17,Bri3bp,Hrct1,Rufy3,Actg1,Pfdn5,Cystm1,Snx22,Bcl2a1d,Tespa1
Ccpg1os,Rpl7a,Myl6,Ssr3,Rab8b,Ntpcr,Arpc1b,Lrrc58,Cirbp,Pcna,Rps6,Mbnl2,Pabpn1,Rpl23a,Itga4
Drc7,Gm43305,Ptprr,Ssr4,Capg,Casp4,4930523C07Rik,Tsc22d1,Pak3,Suz12,Crem,Srcin1,Mageh1,Tnfaip3,Gm26917
Wdr35,Limd2,Aldh2,Hdgf,Pfn1,Pag1,Fgr,Atp5a1,Miat,Rbm7,Ptpn7,Gjb1,Mdga2,Hilpda,Gm15472
Ppil6,Tifa,Ctnna1,Errfi1,Rps24,P2ry6,Mrpl52,Pde4b,5430416N02Rik,Eloc,Gm45716,Ptpn11,Snap47,4930523C07Rik,Cct6a
Nuf2,Srgn,Nr4a1,Rai14,Rap1b,Jund,Laptm5,Esam,Mir9-3hg,Scarb2,Cyfip2,Hmgcs1,Slc6a1,6-Sep,H2-Q4
Morn5,Vars,Fermt2,Dek,Slc43a2,Tmem176b,Sec61b,Mafk,Ptbp2,Ski,Rpl28,Spock1,Ncam1,Cd226,Pabpc1
Fam81a,Atp1b1,Actn4,Rheb,Arhgdib,Tnfaip8l2,Naca,Myh9,Myt1,Rbm25,Arpc3,Jam3,Myt1,Pde7a,Coro1a
Drc1,Hvcn1,Nes,Tmem252,Efhd2,Phyhd1,C130026I21Rik,Bmpr1a,Fzd3,Pcbp2,Tecpr1,Glul,Gng3,Atp5e,Eif3h
Ccdc170,Blnk,Rai14,Map1lc3b,Vamp8,Mtdh,H2afy,Rrad,Snhg14,Csde1,Atp1b1,Stmn1,Adgrb2,Leprotl1,Zeb1
Rfx4,H2-DMa,Cav1,Eif4g1,Rnf149,Clta,Cd83,mt-Cytb,Myef2,Dock10,H2-Q4,Aplp2,Spred1,Prdx6,Pdcd4
Frmpd2,Wdfy4,Sik1,Ranbp1,Crlf2,Picalm,Dna2,Pls3,Ogt,Prpf40a,Pnrc1,Sys1,Ptgfrn,Tle5,Cxcr4
Erich2,Hmgb2,Tob1,Gm26917,Rps23,Hmox1,Iqgap2,Amotl2,Zfp266,Srrm2,Anxa6,Taldo1,Erbb4,Capg,Tmem71
Dnaaf4,Coro1a,Afdn,Mgst1,Nfe2l2,Capza2,Fem1c,Cyb5r3,Prmt1,Srrm1,Gem,Slc25a4,C1ql3,Mrps16,Socs1
Dnaic1,Cox7a2l,Hmcn1,Rpl23a,Milr1,Fam102b,Plscr1,Mob2,Usp22,Dnajb6,Rpl24,Sccpdh,Lrrc4b,Il21r,Cd55
Syt10,Nsa2,Cyth3,Map4,Jaml,Cfh,Rpl5,Rab11b,Pde4dip,Ube2i,Mxd1,Ddc,Adgrl1,Atad2,Pfdn5
Lrrc74b,Iqgap1,Angptl4,Psma3,Rpl31,Ldhb,Slamf9,Aopep,C530008M17Rik,Plin2,Dock2,Dbi,Tspyl4,Mbnl1,Sh2d1a
1700001L19Rik,Uqcrh,Pim3,Prdx1,Rps16,Fam49b,St8sia4,Nfe2l1,Erbb4,Trib1,Gimap8,Ncam1,Sh3d19,Cd27,Jak1
Ccdc180,Rpl23a,Cav2,Ndufs8,Rpl34,Slc11a1,Eif3f,Tm4sf1,Top2b,Dhx15,Prdx6,Slc6a8,Tmem176b,Serpinb9,Elf1
Pacrg,Eif3h,Ccny,Nedd4,Mpp1,Camk1,Rplp1,Rasgrp2,Syne2,Hnrnpc,Ifi203,Smco3,Smoc1,Themis,Pim1
Cfap46,Mef2c,Ccdc85b,Arf4,Lgmn,Ivns1abp,Jak2,Nme2,Med22,Ube2d2a,Atp11b,5031439G07Rik,Abhd2,Eef1d,Psmb8
Dnah10,1-Sep,Sox7,Lrp1,Nfil3,Ifngr1,Unc119,Adamts1,Selenoh,Cmip,Arhgap15,Gamt,Hs2st1,Eif3e,Itgb7
Ccdc121,Fam53b,St6galnac2,Shc1,Tpd52,Rnaset2b,Pitpna,Tagln2,Cep170,Snx18,Nr4a3,Olig2,Nrxn3,Samhd1,Tnfaip3
Spag16,Lsp1,Atox1,Ap2m1,Fabp5,Stab1,Iqgap1,Hspa1a,Cacng4,Ndel1,Ikzf3,Nipa1,Sox10,Polr1d,Stat5b
Tctn2,AI662270,Mrtfb,Pkm,Crip1,Dnajb1,Prcp,Sema6d,Pebp1,Arf1,Sell,Klhl2,Rgs7bp,Inpp4b,Ripor2
Ccdc40,Oaz1,Sorbs2,Tax1bp1,Gng5,Nckap1l,Fgl2,Eps8,Tead1,Cpeb4,Rpl6,Apbb1,Impad1,Rpl4,Cd6
Dnah3,Bcl11a,Csrp2,Vdac2,Sash1,Nav3,S100a10,Sik1,4833420G17Rik,Lbr,Itgb7,D7Ertd443e,Add3,Arhgap15,6-Sep
Sdc2,mt-Co3,Serpinh1,Fdx1,Rpl22,Slc3a2,Dapp1,Plekhg2,Sh3bgrl,Syf2,Rpl36a,Zdhhc20,S100b,Npm1,Txnip
1700028P14Rik,Eif3k,Lamb2,Pecam1,Rpl36,Abca9,Lyn,B230219D22Rik,Hnrnpr,Srp9,Ctla2b,Tecr,Snhg11,Zbp1,Kcnn4
Saxo2,Slc1a5,Slc22a8,Nus1,Cotl1,Rin2,AB124611,Atp5b,Epha4,Cks2,Rpl35,S100b,Caskin1,Rpl5,Srpk1
Cfap97d2,Pmf1,Icam2,Arhgdia,Rassf4,Sla,Nsa2,Apold1,Pkia,Spi1,Junb,Sema6a,Tnik,Gimap9,Rpl9-ps6
Tekt4,Rcc2,Osmr,Pdia3,Eif4e,9930111J21Rik2,Csf2ra,AY036118,Cadps,Scand1,Ablim1,Mast3,Pnmal2,Il18r1,Rgcc
Cabcoco1,Hist1h2ap,Plcb1,Vdac1,Rps17,Gm34455,Mrc1,Selenof,Slc25a27,Eif4a3,Zc3hav1,Eid1,Zeb1,Tbc1d10c,Gimap7
Cdkl4,Eif3e,She,Cycs,Uba52,Ucp2,Grasp,Calm2,Igfbp5,Jak2,Cxcr4,Sox2ot,Ramp1,Cblb,Mbnl1
Gm16201,Eif2ak3,Tagln2,Glud1,Rbm3,Gpr183,Crlf2,Ccn2,1810026B05Rik,Baz1a,Gm33104,Unc5b,Ndfip1,Fgl2,Thy1
Vit,Ptma,Rbms1,Atp5a1,Rpl28,Dusp6,Arpc2,Klf9,Rbm4b,Suco,Uqcrh,Ralgds,Vstm2b,Rinl,Icos
Wdr63,S100a10,Cast,Rps28,Capzb,Sipa1,Ifi27l2a,Rapgef5,Tsc22d1,Mkrn1,Cblb,Cldnd1,Ampd3,Cmtm7,Atad2
Spaca9,Rps27rt,Ier2,Ppp2r5c,Tiparp,St3gal6,H2-Ob,Cd151,Nav1,Fam32a,Eef1b2,Lrrn1,Cadm4,Stat1,Actn1
Prrg4,Ptpn18,Gnai2,Wdr45b,Lyn,Sat1,Gng10,Fry,Fam171a2,Rer1,Ccnd2,Hipk2,Kank1,Zdhhc18,mt-Co2
Ppp1r32,Ifi27l2a,Tmod3,Hspa4,Atox1,Prkcd,Kcnn4,Akap12,Snrpd1,Tmbim4,Unc119,Ube2d1,Gjc3,Zap70,Ifi203
Lrrc36,Polr1d,Fam107a,Rc3h1,Arrdc4,Txnrd1,B2m,Tbx3,Negr1,Abi1,Tyrobp,Pls1,Sox11,Cxcr3,Zfas1
Slc14a2,Dok3,Nek7,Ywhab,Atp5l,Ncf2,Lilrb4a,Cry2,Casp3,Sbno1,Rgs1,Dnajb2,Tcf12,Rbm3,Cd27
Hdc,Pde7a,Degs2,Eif3g,Rps15a,Cd81,Grk3,Crip2,Apc2,Pkm,Gmfg,Il1rap,Anp32e,Klk8,Inpp4b
Scn7a,Rabgap1l,Myh9,Gnas,Mkrn1,Atp6v0c,Plxnd1,Rnd3,Strbp,Csf2rb,Tmsb4x,8-Mar,Canx,Rps15,Runx3
C230072F16Rik,Lsm4,Fam13c,Ube2l3,P2rx7,Tcirg1,Uck2,Slc25a4,Snrpg,Arrb2,Stk24,Strn,Cttnbp2,Hmgb2,Nme2
Gm11992,Btf3,Rnf125,Nop10,Jdp2,B4galt1,Tyrobp,Wasl,Nrxn1,Zmiz1,Sp100,Acot7,Pkia,B2m,Ifi47
Adgb,Hist1h2ae,Ch25h,Iscu,Ly6c2,Mafg,Pkp3,Lats2,Klhdc2,Hnrnpf,Tma7,Dpy19l1,Cask,Mbd2,Bach2
Zmynd10,Hmgb1,Plec,AY036118,Atp5e,Wasf2,Atp5e,Ilk,Kif5a,Llph,Cd69,Tspan15,Hsd17b12,Krtcap2,Klhl6
Ak9,Sec61b,Mpzl1,Rhoa,Plec,Icam1,Gda,Lbh,Set,Vps4b,1700025G04Rik,S100a16,Sash1,Ostf1,Arhgef18
Ccdc81,Rel,Ly6e,Sntb2,Clta,Dnase2a,Gdi2,Nudt4,Ybx1,AB124611,Eif3f,Cab39l,Serpina3n,Hopx,Cd5
Dnah1,Rpl22l1,Tbc1d4,Metap2,Ptpn18,Tnf,Rassf4,Il6st,Olfm1,Larp4b,H2-T22,Eps15,Pclo,Crem,Nop53
Stmnd1,Nol7,Adgrg1,Map4k4,Gmfg,Rbm47,Baz1a,Sbno2,Snap25,Rab5if,Rps19,Gm15417,Adgrb1,Rpl28,Ssh2
Ngef,Snrpf,Fcgrt,Ano6,Hif1a,Mgat4a,Sh3pxd2b,Cox8a,Maco1,Serf2,Ezr,Serpinb1a,Eif1b,Cd48,Fyb
Maats1,P2ry10,Mfsd2a,Cct4,Fnip2,Adgre1,Cd72,Nedd4,Zcchc18,Trpm7,Chsy1,Map7d1,Selenof,Btf3,Chd2
Cfap77,Treml2,Alas1,Anapc5,Txndc17,Ifi30,Emp1,Cdc42ep4,St8sia2,Cotl1,Adora2a,Lzts2,Apba2,Ubald2,Birc2
Ppargc1a,Avl9,Fgd5,Itih5,Rps18,Susd3,Pid1,Tln1,Pou3f4,Phf3,Rpl23a,Vmp1,Rnd2,Ikzf3,Btf3
Vwa3a,Sp100,Sema3g,Hipk1,Rps9,Plxdc2,H2-K1,Oat,Nudt3,Rb1cc1,Padi2,Sox8,Podxl2,Fasl,Klk8
Cfap53,Paip2,Kbtbd11,Ube2m,Rack1,Hspa1a,Ccnd2,Ptms,Brd3,Uqcrq,Serf2,Ptpdc1,Trim9,Ccdc88c,Kbtbd11
Armc4,Cybb,Cmtm8,Psmb5,Cd53,Cmtm6,Lmnb1,Serpine1,Grip1,Cap1,Acap1,Usp54,Kifap3,Gng2,Tnfrsf18
Fank1,H2afz,St8sia6,Dnaja2,Nlrp3,Ncf1,Samhd1,Plxdc2,Rab3a,Sap18,Prkch,Acaca,Tmem163,Rnf138,Nsg2
Iqub,Dmxl1,Clec14a,Psma7,Rps27,Ccdc86,Tnfaip8,Cfh,Ip6k2,Arih2,Hmgb2,Ddit4,Abcd3,Pstpip1,Stk38
Gm5089,Atp5e,Pls3,Eif2s2,Card19,Vav1,Slc38a1,Epn2,Afdn,Osgin1,Osbpl3,Gstm7,Ahi1,Tma7,Sh2d2a
Lrrc71,H2afx,Ceacam1,Lamc1,Pycard,Slc16a6,Hcls1,Morf4l1,Smarcc1,Max,Pde7a,Znfx1,Ppib,Jaml,Samhd1
6820408C15Rik,A630001G21Rik,Flnb,mt-Nd1,Fam129b,Ptpro,Phf11b,Ginm1,Nono,Zfp622,Riok1,Lamp1,Bcat1,Eef2,Batf
Erich3,Arhgef18,Calm1,Cript,Rara,Tgfb1,Syk,Pkd1,Gse1,Irf1,Tespa1,Epn2,Tril,Dock2,Ppp1r15a
Gpx8,St8sia4,Ramp3,Ctnna1,Zfp36l1,Tmem37,Plek,mt-Nd2,Mcm7,Cd14,Mbnl1,Slco3a1,Ndrg2,Ccr2,Rflnb
Fbln7,Gimap6,Tgfb2,Hnrnpm,Ccl12,Usp2,Naaa,Gng11,Ndn,Actr3,Coro1a,Apbb2,Dll1,Eef1a1,Akap13
Ccdc189,Nup210,Maoa,Tuba1b,Rps11,Slc29a3,Spi1,Pbxip1,Bex4,BC005537,Oaz1,Cfl2,Dclk1,Fosl2,Tspo
Map3k19,Fam43a,Itgb1,Thrap3,Maf,Tgfbr2,Coro1a,Tacc1,Slc24a5,N4bp2l2,Anxa1,Clasp2,Maged1,Lgals3,Tdrp
Cfap70,Atp2a3,Tceal9,Tmpo,Osbpl8,Sft2d1,Arhgap15,Socs3,Ing4,P4hb,Cd27,Sypl,Cdk2ap1,Gpsm3,Eef1d
Dsg2,Npm1,Plpp1,Rab2a,Lrrc25,Slc2a5,Atp8b4,Rabac1,Bcl11b,Ptpre,Nrarp,Reep5,Gfra1,Gpr132,Cenpa
Eno4,Zfp706,Vat1,Adss,H2-K1,Man1a,Pstpip1,Gnas,Zfp428,Rac1,Diaph1,Tmem63a,Me1,Tut4,Arhgef1
Dnaic2,Nap1l1,Arhgef12,Tmsb10,Tnfaip2,Ehd4,Plekho2,Fosl2,Pabpn1,Denr,Snrpg,Ak3,Cbx5,Ubl5,Eif3k
Gm16006,Slc12a6,Fosb,Ppp2r5a,Rpl37,Eif5,Btg1,Tprgl,Pnisr,Ppp1r18,Dgat1,Dusp26,Scg3,Supt4a,Tecpr1
Dnah7b,Stat4,Rab11a,Ssb,Ctsl,Ddit3,Arhgap18,Crtc3,Rps26,Itch,Ccr2,Fkbp1a,Tmco3,Runx2,Prkca
Iqck,Yeats4,Slc16a2,Ptges3,Cd302,Tbc1d9,Trim25,Ndrg2,Rbmx,Hilpda,Pabpc1,Pde8a,Spry1,Cotl1,Cdkn1b
Spag8,Cd2,Gng11,Ubr5,C1qb,Ccnd1,Cd48,Dnajb4,Gdap1,Atp1b3,Cst7,Pea15a,Tmem167,Itgae,Mllt3
Tenm3,Strbp,Bhlhe40,Ndufa13,Itgb2,Nfe2l2,Vav3,Cbfa2t3,Smarcd1,Hectd1,Crybg1,Rtn3,Zmynd11,H2afj,Cd53
Ccdc65,Shisa5,Adgrl2,Atp5f1,Atp6v1b2,Npc2,Rac2,Aff4,Clasp1,Neu1,Nsd3,Enpp4,Tpm1,Psme2,Rras2
Rsph10b,2410006H16Rik,Anxa7,Cyc1,Mfsd1,Frrs1,Smim3,Ubr5,Ssbp3,Lims1,Arhgap45,Fermt2,Zcchc18,Prr13,Tuba4a
Musk,Anp32b,Lrrc8a,Gnai3,C5ar1,Ctc1,Fcer1g,Pdcl3,Scg5,Tomm6,Prex1,Abhd17b,Snx3,Snrpe,Epb41l4aos
Mycbpap,Id3,Dgkh,Bmpr2,Rps20,Kdm6b,Lrrk1,Ate1,Flrt2,Cdc42,4930523C07Rik,Sh3gl3,Nckap1,Npm3,Ifngr2
Fam81b,Blvrb,Ifitm2,Rbms1,Il1r2,Ier2,Eif3k,Calu,Apex1,Elf2,Dnaja1,Lrp1b,Nap1l1,Sh2d1a,2410006H16Rik
BC051019,Dgkd,Ptprm,Cct8,Rgl1,Dock4,Arrdc4,Cbx5,Map4k4,Strap,Eif3h,Pcolce2,Col9a3,Tap1,H2-T22
Ankrd45,Ppp1ca,Slc40a1,Tomm20,Ly6e,Lyl1,Arhgap30,Rap1a,Dlgap4,Ripor2,Nabp1,Paxx,Vezf1,Gm11808,Lsp1
Ankrd66,Eif3i,Tdrp,Hnrnpd,Rps2,Ptbp3,Clec2d,Gm42418,Cd1d1,Ube2k,Abracl,Foxn3,Dst,Gm15472,Rnf138
Gm28729,Adgre5,Cd151,Cct5,Chmp4b,Cd300a,Tagln2,Pcdh1,Ptprz1,Map4k4,Tbc1d10c,Golga7,Fry,Arhgap9,Arhgap45
